"Series";"Time";"Value"
"<Drone: 140126312293392 sg01>";"1970-01-01T00:00:00+01:00";null
"<Drone: 140126312293392 sg01>";"1970-01-01T00:10:00+01:00";null
"<Drone: 140126312293392 sg01>";"1970-01-01T00:20:00+01:00";null
"<Drone: 140126312293392 sg01>";"1970-01-01T00:30:00+01:00";null
"<Drone: 140126312293392 sg01>";"1970-01-01T00:40:00+01:00";null
"<Drone: 140126312293392 sg01>";"1970-01-01T00:50:00+01:00";null
"<Drone: 140126312293392 sg01>";"1970-01-01T01:00:00+01:00";0.7037037037037037
"<Drone: 140126312293392 sg01>";"1970-01-01T01:10:00+01:00";0.9160353535353535
"<Drone: 140126312293392 sg01>";"1970-01-01T01:20:00+01:00";0.8125
"<Drone: 140126312293392 sg01>";"1970-01-01T01:30:00+01:00";0.8035714285714286
"<Drone: 140126312293392 sg01>";"1970-01-01T01:40:00+01:00";0.8333333333333334
"<Drone: 140126312293392 sg01>";"1970-01-01T01:50:00+01:00";0.9319444444444444
"<Drone: 140126312293392 sg01>";"1970-01-01T02:00:00+01:00";0.9675925925925924
"<Drone: 140126312293392 sg01>";"1970-01-01T02:10:00+01:00";0.9818376068376068
"<Drone: 140126312293392 sg01>";"1970-01-01T02:20:00+01:00";0.9768518518518517
"<Drone: 140126312293392 sg01>";"1970-01-01T02:30:00+01:00";0.9907407407407409
"<Drone: 140126312293392 sg01>";"1970-01-01T02:40:00+01:00";0.9861111111111112
"<Drone: 140126312293392 sg01>";"1970-01-01T02:50:00+01:00";null
"<Drone: 140126312293392 sg01>";"1970-01-01T03:00:00+01:00";0.9722222222222222
"<Drone: 140126312293392 sg01>";"1970-01-01T03:10:00+01:00";0.9861111111111112
"<Drone: 140126312293392 sg01>";"1970-01-01T03:20:00+01:00";0.9781746031746033
"<Drone: 140126312293392 sg01>";"1970-01-01T03:30:00+01:00";0.9702380952380952
"<Drone: 140126312293392 sg01>";"1970-01-01T03:40:00+01:00";0.9861111111111112
"<Drone: 140126312293392 sg01>";"1970-01-01T03:50:00+01:00";0.9861111111111112
"<Drone: 140126312293392 sg01>";"1970-01-01T04:00:00+01:00";0.9814814814814815
"<Drone: 140126312293392 sg01>";"1970-01-01T04:10:00+01:00";0.9768518518518517
"<Drone: 140126312293392 sg01>";"1970-01-01T04:20:00+01:00";0.9861111111111112
"<Drone: 140126312293392 sg01>";"1970-01-01T04:30:00+01:00";0.9652777777777778
"<Drone: 140126312293392 sg01>";"1970-01-01T04:40:00+01:00";0.9652777777777778
"<Drone: 140126312293392 sg01>";"1970-01-01T04:50:00+01:00";0.9583333333333334
"<Drone: 140126312293392 sg01>";"1970-01-01T05:00:00+01:00";0.986111111111111
"<Drone: 140126312293392 sg01>";"1970-01-01T05:10:00+01:00";null
"<Drone: 140126312293392 sg01>";"1970-01-01T05:20:00+01:00";0.9907407407407409
"<Drone: 140126312293392 sg01>";"1970-01-01T05:30:00+01:00";1
"<Drone: 140126312293392 sg01>";"1970-01-01T05:40:00+01:00";null
"<Drone: 140126312293392 sg01>";"1970-01-01T05:50:00+01:00";0.9930555555555557
"<Drone: 140126312293392 sg01>";"1970-01-01T06:00:00+01:00";null
"<Drone: 140126312293392 sg01>";"1970-01-01T06:10:00+01:00";0.9861111111111112
"<Drone: 140126312293392 sg01>";"1970-01-01T06:20:00+01:00";0.9877450980392157
