"Time";"number of jobs in queue";"successful finished jobs"
"1970-01-01T00:40:00+01:00";null;null
"1970-01-01T00:35:00+01:00";null;null
"1970-01-01T00:30:00+01:00";null;null
"1970-01-01T00:25:00+01:00";null;null
"1970-01-01T00:20:00+01:00";null;null
"1970-01-01T00:15:00+01:00";null;null
"1970-01-01T00:55:00+01:00";null;null
"1970-01-01T00:10:00+01:00";null;null
"1970-01-01T00:05:00+01:00";null;null
"1970-01-01T00:00:00+01:00";null;null
"1970-01-01T00:50:00+01:00";null;null
"1970-01-01T00:45:00+01:00";null;null
"1970-01-01T01:00:00+01:00";1.5;null
"1970-01-02T04:50:00+01:00";3.6666666666666665;8
"1970-01-02T04:55:00+01:00";1.25;14
"1970-01-02T05:00:00+01:00";3.25;14
"1970-01-02T05:05:00+01:00";null;8
"1970-01-02T05:10:00+01:00";2.125;22
"1970-01-02T05:15:00+01:00";null;9
"1970-01-01T03:50:00+01:00";7.5;45
"1970-01-02T05:20:00+01:00";69.33333333333333;4
"1970-01-02T05:25:00+01:00";93.66666666666667;6
"1970-01-02T05:30:00+01:00";100.14285714285714;7
"1970-01-02T05:35:00+01:00";255.14285714285714;105
"1970-01-02T05:40:00+01:00";172.28571428571428;366
"1970-01-02T05:45:00+01:00";3.5;41
"1970-01-02T05:50:00+01:00";2.125;34
"1970-01-02T05:55:00+01:00";12.166666666666666;54
"1970-01-02T06:00:00+01:00";9.666666666666666;53
"1970-01-02T06:05:00+01:00";0.8;23
"1970-01-01T03:55:00+01:00";15.4;12
"1970-01-02T06:10:00+01:00";0.4;7
"1970-01-02T06:15:00+01:00";8.428571428571429;20
"1970-01-02T06:20:00+01:00";null;14
"1970-01-02T06:25:00+01:00";89.66666666666667;9
"1970-01-02T06:30:00+01:00";82.8;17
"1970-01-02T06:35:00+01:00";66.6;15
"1970-01-02T06:40:00+01:00";56.8;28
"1970-01-02T06:45:00+01:00";263.5;10
"1970-01-02T06:50:00+01:00";385.7142857142857;7
"1970-01-02T06:55:00+01:00";438.1666666666667;12
"1970-01-01T04:00:00+01:00";3.75;17
"1970-01-02T07:00:00+01:00";448.54545454545456;66
"1970-01-02T07:05:00+01:00";324.6;238
"1970-01-02T07:10:00+01:00";108.71428571428571;85
"1970-01-02T07:15:00+01:00";80.125;49
"1970-01-02T07:20:00+01:00";19.571428571428573;102
"1970-01-02T07:25:00+01:00";2.5;57
"1970-01-02T07:30:00+01:00";6;67
"1970-01-02T07:35:00+01:00";4.142857142857143;66
"1970-01-02T07:40:00+01:00";null;12
"1970-01-02T07:45:00+01:00";1;23
"1970-01-01T04:05:00+01:00";96.64285714285714;250
"1970-01-02T07:50:00+01:00";7.833333333333333;10
"1970-01-02T07:55:00+01:00";1.2;46
"1970-01-02T08:00:00+01:00";1.4285714285714286;11
"1970-01-02T08:05:00+01:00";1;47
"1970-01-02T08:10:00+01:00";5.2;35
"1970-01-02T08:15:00+01:00";1;29
"1970-01-02T08:20:00+01:00";3.5;25
"1970-01-02T08:25:00+01:00";4.4;8
"1970-01-02T08:30:00+01:00";33.666666666666664;9
"1970-01-02T08:35:00+01:00";11.727272727272727;11
"1970-01-01T04:10:00+01:00";6.125;141
"1970-01-02T08:40:00+01:00";3.75;38
"1970-01-02T08:45:00+01:00";1.75;94
"1970-01-02T08:50:00+01:00";1;11
"1970-01-02T08:55:00+01:00";0.6666666666666666;8
"1970-01-02T09:00:00+01:00";3.25;71
"1970-01-02T09:05:00+01:00";4.8;5
"1970-01-02T09:10:00+01:00";3.5714285714285716;16
"1970-01-02T09:15:00+01:00";null;6
"1970-01-02T09:20:00+01:00";0.5;7
"1970-01-02T09:25:00+01:00";0.5;12
"1970-01-01T04:15:00+01:00";5.8;13
"1970-01-02T09:30:00+01:00";0.75;17
"1970-01-02T09:35:00+01:00";1.3333333333333333;12
"1970-01-02T09:40:00+01:00";11.5;3
"1970-01-02T09:45:00+01:00";24.875;8
"1970-01-02T09:50:00+01:00";null;24
"1970-01-02T09:55:00+01:00";null;11
"1970-01-02T10:00:00+01:00";7;11
"1970-01-02T10:05:00+01:00";1.3333333333333333;9
"1970-01-02T10:10:00+01:00";15.5;19
"1970-01-02T10:15:00+01:00";2;null
"1970-01-01T01:20:00+01:00";1.3333333333333333;47
"1970-01-01T04:20:00+01:00";3.2;2
"1970-01-02T10:20:00+01:00";1;1
"1970-01-02T10:25:00+01:00";0.3333333333333333;8
"1970-01-02T10:30:00+01:00";null;7
"1970-01-02T10:35:00+01:00";1.125;4
"1970-01-02T10:40:00+01:00";38.714285714285715;6
"1970-01-02T10:45:00+01:00";395.5;34
"1970-01-02T10:50:00+01:00";744.5;67
"1970-01-02T10:55:00+01:00";684;51
"1970-01-02T11:00:00+01:00";681.1;10
"1970-01-02T11:05:00+01:00";702.375;7
"1970-01-01T04:25:00+01:00";7.285714285714286;8
"1970-01-02T11:10:00+01:00";732.6666666666666;6
"1970-01-02T11:15:00+01:00";736.8;9
"1970-01-02T11:20:00+01:00";726;13
"1970-01-02T11:25:00+01:00";737;11
"1970-01-02T11:30:00+01:00";750.3333333333334;22
"1970-01-02T11:35:00+01:00";763.4;2
"1970-01-02T11:40:00+01:00";781.5;7
"1970-01-02T11:45:00+01:00";775.6666666666666;6
"1970-01-02T11:50:00+01:00";839.75;2
"1970-01-02T11:55:00+01:00";1113.2666666666667;1
"1970-01-01T04:30:00+01:00";12.285714285714286;29
"1970-01-02T12:00:00+01:00";2413.1666666666665;null
"1970-01-02T12:05:00+01:00";2599.125;2
"1970-01-02T12:10:00+01:00";2650;null
"1970-01-02T12:15:00+01:00";2654.75;3
"1970-01-02T12:20:00+01:00";2672.6666666666665;3
"1970-01-02T12:25:00+01:00";2749.75;3
"1970-01-02T12:30:00+01:00";2824.6666666666665;4
"1970-01-02T12:35:00+01:00";2833.8571428571427;6
"1970-01-02T12:40:00+01:00";2837.4;2
"1970-01-02T12:45:00+01:00";2844.5;1
"1970-01-01T04:35:00+01:00";1.1666666666666667;2
"1970-01-02T12:50:00+01:00";2899.4444444444443;10
"1970-01-02T12:55:00+01:00";3008.6363636363635;17
"1970-01-02T13:00:00+01:00";3061;32
"1970-01-02T13:05:00+01:00";3041.75;22
"1970-01-02T13:10:00+01:00";3085.6923076923076;18
"1970-01-02T13:15:00+01:00";3186.125;10
"1970-01-02T13:20:00+01:00";3196.125;17
"1970-01-02T13:25:00+01:00";3244;37
"1970-01-02T13:30:00+01:00";3254.6666666666665;63
"1970-01-02T13:35:00+01:00";3213;57
"1970-01-01T04:40:00+01:00";null;49
"1970-01-02T13:40:00+01:00";3186.4444444444443;34
"1970-01-02T13:45:00+01:00";3192.25;16
"1970-01-02T13:50:00+01:00";3199.6666666666665;5
"1970-01-02T13:55:00+01:00";3198;6
"1970-01-02T14:00:00+01:00";3193.2;4
"1970-01-02T14:05:00+01:00";3201.4;4
"1970-01-02T14:10:00+01:00";3317.3;6
"1970-01-02T14:15:00+01:00";3493.1111111111113;3
"1970-01-02T14:20:00+01:00";3522.2;1
"1970-01-02T14:25:00+01:00";3671.1428571428573;3
"1970-01-01T04:45:00+01:00";1.5;23
"1970-01-02T14:30:00+01:00";3877.714285714286;6
"1970-01-02T14:35:00+01:00";3876.2;9
"1970-01-02T14:40:00+01:00";3869.1666666666665;12
"1970-01-02T14:45:00+01:00";3879.375;11
"1970-01-02T14:50:00+01:00";3888.4;9
"1970-01-02T14:55:00+01:00";3904.4;6
"1970-01-02T15:00:00+01:00";3910.3333333333335;10
"1970-01-02T15:05:00+01:00";3901.5454545454545;20
"1970-01-02T15:10:00+01:00";3945.8888888888887;25
"1970-01-02T15:15:00+01:00";3953.5454545454545;21
"1970-01-01T04:50:00+01:00";null;23
"1970-01-02T15:20:00+01:00";3981.6666666666665;10
"1970-01-02T15:25:00+01:00";3984.6;15
"1970-01-02T15:30:00+01:00";4139.6;15
"1970-01-02T15:35:00+01:00";4363;27
"1970-01-02T15:40:00+01:00";4348.4;53
"1970-01-02T15:45:00+01:00";4367.285714285715;57
"1970-01-02T15:50:00+01:00";4337.166666666667;43
"1970-01-02T15:55:00+01:00";4291.6;41
"1970-01-02T16:00:00+01:00";4252.5;45
"1970-01-02T16:05:00+01:00";4240.125;24
"1970-01-01T04:55:00+01:00";1.25;44
"1970-01-02T16:10:00+01:00";4333;37
"1970-01-02T16:15:00+01:00";4414;35
"1970-01-02T16:20:00+01:00";4510.5;44
"1970-01-02T16:25:00+01:00";4432.625;185
"1970-01-02T16:30:00+01:00";4214.666666666667;336
"1970-01-02T16:35:00+01:00";3829.5;271
"1970-01-02T16:40:00+01:00";3714.4285714285716;43
"1970-01-02T16:45:00+01:00";3703.3846153846152;18
"1970-01-02T16:50:00+01:00";3819.5;8
"1970-01-02T16:55:00+01:00";3898.5714285714284;27
"1970-01-01T05:00:00+01:00";28.375;13
"1970-01-02T17:00:00+01:00";3978;15
"1970-01-02T17:05:00+01:00";3965.4;12
"1970-01-02T17:10:00+01:00";3955.8571428571427;12
"1970-01-02T17:15:00+01:00";3959.2;20
"1970-01-02T17:20:00+01:00";3952.8571428571427;22
